,path
0,52
1,53
2,53
3,53
4,53
5,53
6,53
7,53
8,53
9,53
10,53
11,53
12,53
13,53
14,53
15,53
16,53
17,53
18,53
19,53
20,54
21,54
22,54
23,54
24,54
25,54
26,54
27,54
28,54
29,54
30,54
31,54
32,54
33,54
34,54
35,54
36,54
37,54
38,54
39,54
40,54
41,54
42,54
43,54
44,54
45,54
46,54
47,54
48,54
49,54
50,54
51,54
52,54
53,54
54,54
55,54
56,54
57,54
58,54
59,54
60,54
61,54
62,54
63,54
64,54
65,54
66,54
67,54
68,54
69,54
70,54
71,54
72,54
73,54
74,54
75,54
76,54
77,54
78,54
79,54
80,54
81,54
82,54
83,54
84,54
85,54
86,54
87,54
88,54
89,54
90,54
91,54
92,54
93,54
94,54
95,54
96,54
97,54
98,54
99,54
100,54
101,54
102,54
103,54
104,54
105,54
106,54
107,54
108,54
109,54
110,54
111,54
112,54
113,54
114,54
115,54
116,54
117,54
118,54
119,54
120,54
121,54
122,54
123,54
124,54
125,54
126,54
127,54
128,54
129,54
130,54
131,54
132,54
133,54
134,54
135,54
136,54
137,54
138,54
139,54
140,54
141,54
142,54
143,54
144,54
145,54
146,54
147,54
148,54
149,54
150,54
151,54
152,54
153,54
154,54
155,54
156,54
157,54
158,54
159,54
160,54
161,55
162,55
163,55
164,55
165,55
166,55
167,55
168,55
169,55
170,55
171,55
172,55
173,55
174,55
175,55
176,55
177,55
178,55
179,55
180,55
181,55
182,55
183,55
184,55
185,55
186,55
187,55
188,55
189,55
190,55
191,55
192,55
193,55
194,55
195,55
196,55
197,55
198,55
199,55
200,55
201,55
202,55
203,55
204,55
205,55
206,55
207,55
208,55
209,55
210,55
211,55
212,55
213,55
214,55
215,55
216,55
217,55
218,55
219,55
220,55
221,55
222,55
223,55
224,55
225,55
226,55
227,55
228,55
229,55
230,55
231,55
232,55
233,55
234,55
235,55
236,55
237,55
238,55
239,55
240,55
241,55
242,55
243,55
244,55
245,55
246,55
247,55
248,55
249,55
250,55
251,55
252,55
253,55
254,55
255,55
256,55
257,55
258,55
259,55
260,55
261,55
262,55
263,55
264,55
265,55
266,55
267,55
268,55
269,55
270,55
271,55
272,55
273,55
274,55
275,55
276,55
277,55
278,55
279,55
280,55
281,55
282,55
283,55
284,55
285,55
286,55
287,55
288,55
289,55
290,55
291,55
292,55
293,55
294,55
295,55
296,55
297,55
298,55
299,55
300,55
301,55
302,55
303,55
304,55
305,55
306,55
307,55
308,55
309,55
310,55
311,55
312,55
313,55
314,55
315,55
316,55
317,55
318,55
319,55
320,55
321,55
322,55
323,55
324,55
325,55
326,55
327,55
328,55
329,55
330,55
331,55
332,55
333,55
334,55
335,55
336,55
337,55
338,55
339,55
340,55
341,55
342,55
343,55
344,55
345,55
346,55
347,55
348,55
349,55
350,55
351,55
352,55
353,55
354,55
355,55
356,55
357,55
358,55
359,55
360,55
361,55
362,55
363,55
364,55
365,55
366,55
367,55
368,55
369,55
370,55
371,55
372,55
373,55
374,55
375,55
376,55
377,55
378,55
379,55
380,55
381,55
382,55
383,55
384,55
385,55
386,55
387,55
388,55
389,55
390,55
391,55
392,55
393,55
394,55
395,55
396,55
397,55
398,55
399,55
400,55
401,55
402,55
403,55
404,55
405,55
406,55
407,55
408,55
409,55
410,55
411,55
412,55
413,55
414,55
415,55
416,55
417,55
418,55
419,55
420,55
421,55
422,55
